detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s,attack_model
Dynamic k-Means,0.9585,0.9935,0.7963,0.884,0.9987,0.0,20,789,0.06,split_position
IQR Speed Threshold,0.2282,0.2282,1.0,0.3716,0.0,0.0,25,789,0.04,split_position
RSU Position Verification,0.9806,0.9217,1.0,0.9592,0.9749,0.0,25,789,7.27,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,25,789,0.48,split_position
Random Forest,1.0,1.0,1.0,1.0,1.0,0.0,25,789,1.6,split_position
LSTM,0.8182,0.6,0.6,0.6,0.8824,0.0,25,789,8.79,split_position
Dynamic k-Means,0.9978,0.9905,1.0,0.9952,0.9972,0.0,25,789,0.05,split_position
IQR Speed Threshold,0.2834,0.2834,1.0,0.4416,0.0,0.0,30,789,0.04,split_position
RSU Position Verification,0.8993,0.9365,0.6916,0.7956,0.9815,0.0,30,789,7.34,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,789,0.52,split_position
Random Forest,0.9998,0.9994,1.0,0.9997,0.9997,0.0006,30,789,1.8,split_position
LSTM,0.9565,1.0,0.8333,0.9091,1.0,0.0,30,789,8.33,split_position
Dynamic k-Means,0.9991,0.9967,1.0,0.9984,0.9987,0.0,30,789,0.05,split_position
IQR Speed Threshold,0.3332,0.3332,1.0,0.4999,0.0,0.0,35,789,0.04,split_position
RSU Position Verification,0.8624,0.8218,0.7495,0.784,0.9188,0.0,35,789,7.47,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,789,0.58,split_position
Random Forest,0.9996,0.9987,1.0,0.9994,0.9993,0.0004,35,789,1.81,split_position
LSTM,0.92,0.875,0.875,0.875,0.9412,0.0,35,789,9.72,split_position
Dynamic k-Means,0.9979,0.9938,1.0,0.9969,0.9969,0.0,35,789,0.05,split_position
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,789,0.03,split_position
RSU Position Verification,0.8667,0.922,0.7233,0.8107,0.9601,0.0,40,789,7.94,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,789,0.58,split_position
Random Forest,0.9997,0.9992,1.0,0.9996,0.9995,0.0004,40,789,1.69,split_position
LSTM,0.963,0.9091,1.0,0.9524,0.9412,0.0,40,789,11.81,split_position
Dynamic k-Means,0.9898,0.9748,1.0,0.9873,0.9832,0.0,40,789,0.07,split_position
IQR Speed Threshold,0.0548,0.0548,1.0,0.1038,0.0,0.0,5,1000,0.03,split_position
